Date,Chemical Name,Price/Kg,Packing,Purity,Chemical Nature,Supplier Country,Storing Container,Supplier Company,Boiling Point,Composition,Usage,Price/MT,Quality
3/1/2024,Titanium Dioxide,432,25,72,Powder,Korea,Paper Bag,Cosmo Chemicals Co. Ltd.,2500,"Titanum, Oxygen",printing and paste liquify,2870,Good
3/2/2024,Titanium Dioxide,432,25,72,Powder,Korea,Paper Bag,Cosmo Chemicals Co. Ltd.,2500,"Titanum, Oxygen",printing and paste liquify,2870,Good
3/3/2024,Titanium Dioxide,432,25,72,Powder,Korea,Paper Bag,Cosmo Chemicals Co. Ltd.,2500,"Titanum, Oxygen",printing and paste liquify,2870,Good
3/4/2024,Titanium Dioxide,432,25,72,Powder,Korea,Paper Bag,Cosmo Chemicals Co. Ltd.,2500,"Titanum, Oxygen",printing and paste liquify,2870,Good
3/5/2024,Titanium Dioxide,432,25,72,Powder,Korea,Paper Bag,Cosmo Chemicals Co. Ltd.,2500,"Titanum, Oxygen",printing and paste liquify,2870,Good
3/6/2024,Titanium Dioxide,432,25,72,Powder,Korea,Paper Bag,Cosmo Chemicals Co. Ltd.,2500,"Titanum, Oxygen",printing and paste liquify,2870,Good
3/7/2024,Titanium Dioxide,432,25,72,Powder,Korea,Paper Bag,Cosmo Chemicals Co. Ltd.,2500,"Titanum, Oxygen",printing and paste liquify,2870,Good
3/8/2024,Titanium Dioxide,432,25,72,Powder,Korea,Paper Bag,Cosmo Chemicals Co. Ltd.,2500,"Titanum, Oxygen",printing and paste liquify,2870,Good
3/9/2024,Titanium Dioxide,432,25,72,Powder,Korea,Paper Bag,Cosmo Chemicals Co. Ltd.,2500,"Titanum, Oxygen",printing and paste liquify,2870,Good
3/10/2024,Titanium Dioxide,432,25,72,Powder,Korea,Paper Bag,Cosmo Chemicals Co. Ltd.,2500,"Titanum, Oxygen",printing and paste liquify,2870,Good
3/11/2024,Titanium Dioxide,432,25,72,Powder,Korea,Paper Bag,Cosmo Chemicals Co. Ltd.,2500,"Titanum, Oxygen",printing and paste liquify,2870,Good
3/12/2024,Titanium Dioxide,432,25,72,Powder,Korea,Paper Bag,Cosmo Chemicals Co. Ltd.,2500,"Titanum, Oxygen",printing and paste liquify,2870,Good
3/13/2024,Titanium Dioxide,432,25,72,Powder,Korea,Paper Bag,Cosmo Chemicals Co. Ltd.,2500,"Titanum, Oxygen",printing and paste liquify,2870,Good
